id,project_id,title,description,created_at,updated_at,due_date,assigned_to,created_by,status,priority,phase_id,team_id,budget_allocated,budget_consumed,sub_phase_id
2974ec32-b5e8-4ae3-b28b-70da942ba601,c50af363-0ce6-4e2f-8a43-3358c0e1175e,Collecte des DONS via la Cagnotte en ligne,Lien vers la Cagnotte,2025-03-08 09:32:35.540995+00,2025-03-17 17:05:11.90978+00,2025-03-31 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,f46b3c58-9d0b-4c21-ba6c-4b8948231b35,inProgress,2,87b0be7a-a764-4530-ba6a-61507c3e180f,,0.00,0.00,
6e0a7e5d-0c59-4065-83f5-f4d3c47d7564,c50af363-0ce6-4e2f-8a43-3358c0e1175e,Vente des livre,Vente des livre,2025-04-03 00:05:35.411+00,,2026-04-03 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,inProgress,0,87b0be7a-a764-4530-ba6a-61507c3e180f,,0.00,0.00,
72f1ec94-c8c6-40f9-8254-9151bc073f84,0877404e-9d15-4c93-a91c-aed32db19fb6,Devis,En attente de validation,2025-04-13 21:38:47.591804+00,2025-04-14 19:24:06.552622+00,2025-04-16 00:00:00+00,234a73a6-08b5-48ef-bca4-1fd7b34c905f,0e9becfd-1163-485e-b8de-b9908bf3baed,inProgress,2,087d7b45-9d2a-4b92-8909-e9618054ffec,,0.00,0.00,
80abd04d-8b0f-431c-b42c-be5baf8f52ac,c50af363-0ce6-4e2f-8a43-3358c0e1175e,Revenus formation,,2025-04-03 00:10:32.725+00,2025-04-10 11:11:08.516596+00,2026-04-03 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,inProgress,0,87b0be7a-a764-4530-ba6a-61507c3e180f,,0.00,0.00,
815cd51a-c594-4df0-868c-b4083fbe92e6,c50af363-0ce6-4e2f-8a43-3358c0e1175e,test yahya,test yahya,2025-04-15 11:19:21.899+00,2025-04-15 11:43:50.931+00,2025-04-30 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,inProgress,1,38bd9753-a031-4def-8afb-e6b4ac0f919b,,0.00,0.00,fbf7670e-28f4-4547-9478-a06b194e1f0a
aaf8a76a-f751-4e85-981e-9f40f82b0b0e,c50af363-0ce6-4e2f-8a43-3358c0e1175e,FONDATION,réalisation des fondation,2025-03-24 18:31:53.537842+00,2025-04-04 16:03:28.712+00,2025-03-28 00:00:00+00,,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,completed,3,87b0be7a-a764-4530-ba6a-61507c3e180f,,0.00,7000.00,
ad413e6b-b8d0-46aa-ad4c-dfa03698db22,c50af363-0ce6-4e2f-8a43-3358c0e1175e,Preparation de la presentation PowerPoint,pour presenter le projet,2025-03-08 09:24:41.482862+00,2025-03-19 17:54:46.042097+00,2025-03-08 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,f46b3c58-9d0b-4c21-ba6c-4b8948231b35,review,2,87b0be7a-a764-4530-ba6a-61507c3e180f,,0.00,0.00,
b6526692-3772-4f4d-8642-32edbcf1a7f8,c50af363-0ce6-4e2f-8a43-3358c0e1175e,Collecte des dons,Collecter les dons pour commencer la partie Forage,2025-03-07 16:54:29.264101+00,2025-03-19 17:53:48.731839+00,2025-03-07 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,f46b3c58-9d0b-4c21-ba6c-4b8948231b35,completed,0,38bd9753-a031-4def-8afb-e6b4ac0f919b,,0.00,0.00,
b696f226-9e4f-4f8d-a3ce-119d805f43c8,c50af363-0ce6-4e2f-8a43-3358c0e1175e,test,,2025-04-11 08:29:45.699+00,2025-04-12 23:07:10.915+00,2025-04-30 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,inProgress,1,38bd9753-a031-4def-8afb-e6b4ac0f919b,,0.00,0.00,fbf7670e-28f4-4547-9478-a06b194e1f0a
d04db9cc-1998-4d54-8ade-85e89daf1731,c50af363-0ce6-4e2f-8a43-3358c0e1175e,test,test,2025-04-15 11:44:43.744+00,2025-04-15 11:45:18.527+00,2025-04-17 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,todo,1,38bd9753-a031-4def-8afb-e6b4ac0f919b,,0.00,0.00,fbf7670e-28f4-4547-9478-a06b194e1f0a
e7e4c2f0-1369-4224-89e2-1b1229220fc6,c50af363-0ce6-4e2f-8a43-3358c0e1175e,test yahya 3,test yahya 3,2025-04-15 12:07:32.154+00,2025-04-15 12:20:56.687+00,2025-04-30 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,todo,1,38bd9753-a031-4def-8afb-e6b4ac0f919b,,0.00,0.00,fbf7670e-28f4-4547-9478-a06b194e1f0a
eaae2224-a8f6-4eb0-8304-189fc78eefa1,c50af363-0ce6-4e2f-8a43-3358c0e1175e,test yahya 25,test 25,2025-04-15 11:42:28.139027+00,2025-04-15 12:05:33.186+00,2025-04-30 00:00:00+00,e23ef34a-2fb5-4f1c-97ab-22554526ab9d,e23ef34a-2fb5-4f1c-97ab-22554526ab9d,todo,1,38bd9753-a031-4def-8afb-e6b4ac0f919b,,0.00,0.00,fbf7670e-28f4-4547-9478-a06b194e1f0a
f1da77a3-f804-403f-973c-fed7fce86ed2,c50af363-0ce6-4e2f-8a43-3358c0e1175e,test yahya 2,test,2025-04-15 11:43:05.252904+00,2025-04-15 12:06:22.433+00,2025-04-30 00:00:00+00,92a9c563-a9f2-4500-ada5-2a0cd23cbf1c,e23ef34a-2fb5-4f1c-97ab-22554526ab9d,todo,1,38bd9753-a031-4def-8afb-e6b4ac0f919b,,0.00,0.00,fbf7670e-28f4-4547-9478-a06b194e1f0a
